Name,Blockchain Supportate,Last Updated,Profilo Twitter/X,Sito Web,Tags,Token/NFT
Kraken,,"May 28, 2024",https://x.com/krakenfx,https://www.kraken.com/,Exchange Centralizzato (CEX),
Coinbase,,"May 28, 2024 3:43 PM (GMT+2)",https://twitter.com/coinbase,https://www.coinbase.com/,"Carta Cripto, Exchange Centralizzato (CEX)",
Metamask,"Arbitrum, Base, Ethereum, HyperEVM, Optimism, Polygon","May 28, 2024",https://twitter.com/MetaMask,https://metamask.io/,"Airdrop, Portafoglio ""Wallet"" Non-custodial (Extension)",
Ethereum,,"May 29, 2024",https://x.com/ethereum,https://ethereum.org/it/,"Blockchain, Criptovaluta",https://www.coingecko.com/en/coins/ethereum
Bitcoin,,"May 29, 2024",https://x.com/bitcoin,https://bitcoin.org/bitcoin.pdf,"Blockchain, Criptovaluta",https://www.coingecko.com/en/coins/bitcoin
Solana,Solana,"May 29, 2024",https://x.com/solana,https://solana.com/,"Blockchain, Criptovaluta",https://www.coingecko.com/en/coins/solana
Binance,,"May 28, 2024",https://x.com/binance,https://www.binance.com,"Carta Cripto, Criptovaluta, Exchange Centralizzato (CEX)",https://www.coingecko.com/en/coins/bnb
Crypto.com,,"May 28, 2024",https://x.com/cryptocom,https://crypto.com/,"Carta Cripto, Criptovaluta, Exchange Centralizzato (CEX)",https://www.coingecko.com/en/coins/cronos
Holyheld,,"May 28, 2024",https://x.com/holyheld,https://holyheld.com/,"Banca Digitale Web3, Carta Cripto",
Base,Base,"May 29, 2024",https://x.com/base,https://www.base.org/,"Airdrop, Blockchain, L2",
Phantom,"Bitcoin, Ethereum, Polygon, Solana","May 28, 2024",https://x.com/phantom,https://phantom.app/,"Airdrop, Portafoglio ""Wallet"" Non-custodial (Extension)",
Orbiter,"Arbitrum, Base, Ethereum, Optimism, Polygon","March 1, 2026",https://x.com/Orbiter_Finance,https://www.orbiter.finance/,"Bridge, DeFi",https://www.coingecko.com/en/coins/orbiter-finance
Jumper,"Arbitrum, Base, Ethereum, Layerzero, Optimism, Polygon","June 13, 2024",https://x.com/JumperExchange,https://jumper.exchange/,"Airdrop, Bridge, DeFi, Exchange Decentralizzato (DEX)",
Stargate,"Arbitrum, Base, Ethereum, Layerzero, Optimism, Polygon","May 29, 2024",https://x.com/StargateFinance,https://stargate.finance/,"Bridge, DeFi, Exchange Decentralizzato (DEX)",https://www.coingecko.com/en/coins/stargate-finance
zkSync,zkSync,"June 18, 2024",https://x.com/zksync,https://zksync.io/,"Blockchain, L2",https://www.coingecko.com/en/coins/zksync
Polygon zkEVM,Polygon zkEVM,"May 29, 2024",https://x.com/0xpolygondefi,https://polygon.technology/,"Airdrop, Blockchain, L2",
Arbitrum,Arbitrum,"May 29, 2024",https://x.com/arbitrum,https://arbitrum.foundation/,"Blockchain, Criptovaluta, L2",https://www.coingecko.com/en/coins/arbitrum
Defillama,"Arbitrum, Ethereum, Optimism, Polygon","May 29, 2024",https://x.com/DefiLlama,https://defillama.com/,"Aggregatore di Dati, Bridge Aggregator, DEX Aggregator, DeFi",
Token Terminal,"Arbitrum, Avalanche, BSC, Base, Bitcoin, Blast, Celestia, Cosmos, Ethereum, Fantom, Gnosis, HyperEVM, Linea, Moonbeam, Moonriver, Optimism, Polygon, Sanko, Scroll, Solana, Starknet, Zora","May 29, 2024",https://x.com/tokenterminal,https://tokenterminal.com/,"Aggregatore di Dati, Analisi di Mercato",
Crypto Punks,Ethereum,"June 20, 2024",https://x.com/cryptopunksnfts,https://cryptopunks.app/,NFT,https://cryptopunks.app/
Shroomiez,Ethereum,"May 29, 2024",https://x.com/ShroomiezNFTs,shroomiez.world,NFT,https://opensea.io/collection/shroomieznfts
Getgrass,,"March 1, 2026",https://x.com/getgrass_io,https://www.getgrass.io/,DePIN,https://www.coingecko.com/en/coins/grass
Uniswap,"Arbitrum, Base, Ethereum, Optimism, Polygon","May 29, 2024",https://x.com/Uniswap,https://app.uniswap.org/swap,"Criptovaluta, DeFi, Exchange Decentralizzato (DEX)",https://www.coingecko.com/en/coins/uniswap
AAVE,"Arbitrum, Base, Ethereum, Optimism, Polygon","May 29, 2024",https://x.com/aave,https://app.aave.com/,"Criptovaluta, DeFi, Prestiti Decentralizzati",https://www.coingecko.com/en/coins/aave
Linea,,"March 1, 2026",https://x.com/LineaBuild,https://linea.build/,"Blockchain, L2",https://www.coingecko.com/en/coins/linea
Gitcoin,"Arbitrum, Base, Ethereum, Optimism, Polygon, zkSync","March 1, 2026 8:01 PM (GMT+1)",https://twitter.com/gitcoin,https://www.gitcoin.co/,"Aggregatore di Dati, Grants",https://www.coingecko.com/en/coins/gitcoin
Rainbow,"Arbitrum, Base, Ethereum, Optimism, Polygon","March 1, 2026",https://x.com/rainbowdotme,https://rainbow.me/,"Portafoglio ""Wallet"" Non-custodial (Extension)",https://www.coingecko.com/en/coins/rainbow-3
Hyperliquid,"Arbitrum, Bitcoin, Ethereum, HyperEVM, Monad, Plasma, Solana","March 22, 2024",https://twitter.com/HyperliquidX,https://app.hyperliquid.xyz/join/HL4567,"Airdrop, DEX Trading (Perpetuals), DeFi, Exchange Decentralizzato (DEX)",https://www.coingecko.com/en/coins/purr-2
Syncswap,"Linea, Scroll, zkSync","March 22, 2024",https://twitter.com/syncswap,https://syncswap.xyz/,"Airdrop, DeFi, Exchange Decentralizzato (DEX)",
Transak,,"May 23, 2024",https://twitter.com/Transak,https://transak.com/,On-ramp,
Tubby Cats,Ethereum,"May 28, 2024",https://x.com/tubbycatsnft,https://hub.xyz/tubby-cats,NFT,https://opensea.io/collection/tubby-cats
Milady,Ethereum,"June 18, 2024",https://x.com/miladymaker,https://miladymaker.net/,NFT,https://opensea.io/collection/milady
Radbro,Ethereum,"June 18, 2024",https://x.com/radbro_webring,https://radbro.xyz/,NFT,https://opensea.io/collection/radbro-webring
Farcaster,"Arbitrum, BSC, Base, Ethereum, HyperEVM, Solana","October 13, 2025",https://twitter.com/warpcast_,https://farcaster.xyz/,"Airdrop, Social Media Decentralizzato",
Optimism,Optimism,"March 24, 2024",https://twitter.com/Optimism,https://www.optimism.io/,"Blockchain, Criptovaluta, L2",https://www.coingecko.com/en/coins/optimism
Rabby,"Arbitrum, Avalanche, BSC, Base, Ethereum, Fantom, Gnosis, HyperEVM, Linea, Optimism, Polygon, Zora, zkSync","May 28, 2024",https://x.com/Rabby_io,https://rabby.io/,"Portafoglio ""Wallet"" Non-custodial (Extension)",
Cow Swap,"Arbitrum, Ethereum, Gnosis, Sepolia","May 29, 2024",https://x.com/CoWSwap,https://cow.fi/,"Criptovaluta, DeFi, Exchange Decentralizzato (DEX), Protezione MEV",https://www.coingecko.com/en/coins/cow-protocol
Compound,"Arbitrum, Base, Ethereum, Optimism, Polygon, Scroll","May 29, 2024",https://x.com/compoundfinance,https://compound.finance/,"Criptovaluta, DeFi, Prestiti Decentralizzati",https://www.coingecko.com/en/coins/compound
Polygon,Polygon,"June 19, 2024",https://x.com/0xPolygon,https://polygon.technology/,"Blockchain, Criptovaluta, L2",https://www.coingecko.com/en/coins/polygon
Polymarket,Polygon,"June 19, 2024",https://x.com/Polymarket,https://polymarket.com/,"Airdrop, Predizioni",
OpenSea,"Arbitrum, BSC, Base, Blast, Ethereum, Optimism, Polygon, Solana, Zora","June 5, 2024",https://x.com/opensea,https://opensea.io/,"Airdrop, Marketplace NFT",
Sudoswap,"Arbitrum, Base, Blast, Ethereum, Sanko","June 5, 2024",https://x.com/sudoswap,sudoswap.xyz,"Criptovaluta, DeFi, Marketplace NFT",https://www.coingecko.com/en/coins/sudoswap
Blast,,"June 5, 2024",https://x.com/Blast_L2,blast.io,"Blockchain, L2",https://www.coingecko.com/en/coins/blast
Blur,"Blast, Ethereum","June 5, 2024",https://x.com/blur_io,https://blur.io/,"DeFi, Marketplace NFT",https://www.coingecko.com/en/coins/blur
Berachain,,"March 1, 2026",https://x.com/berachain,https://www.berachain.com/,"Blockchain, L2",https://www.coingecko.com/en/coins/berachain
LayerZero,Layerzero,"June 19, 2024",https://x.com/LayerZero_Labs,https://layerzero.network/,"DeFi, Interoperabilità (Cross-Chain)",
Pudgy Penguins,"Ethereum, Layerzero","June 6, 2024",https://x.com/pudgypenguins,https://www.pudgypenguins.com/,NFT,https://opensea.io/collection/pudgypenguins
Bong Bears & Rebase,"Berachain, Ethereum","March 1, 2026",https://x.com/BongBearsNFT,https://www.berachain.com/,NFT,https://opensea.io/collection/bongbears
Coingecko,,"June 6, 2024",https://x.com/coingecko,coingecko.com,"Aggregatore di Dati, Analisi di Mercato, Portfolio Tracker",
Dogecoin,Dogechain,"June 6, 2024",https://x.com/dogecoin,https://dogecoin.com/,"Criptovaluta, Memecoin",https://www.coingecko.com/en/coins/dogecoin
